Time1,Time2,Activities,QualityBF,Quantity (ml),Duration,DaysSinceBirth
2024-07-18 11:00,2024-07-18 11:30,Allaitement,Novice,,30m,0
2024-07-18 12:55,2024-07-18 13:05,Allaitement,Novice,,10m,0
2024-07-18 14:45,2024-07-18 14:50,Allaitement,Novice,,5m,0
2024-07-18 17:00,,Selles,,,,0
2024-07-18 18:35,2024-07-18 18:45,Allaitement,Novice,,10m,0
2024-07-18 23:50,,Selles,,,,0
2024-07-19 1:05,2024-07-19 1:15,Allaitement,Novice,,10m,1
2024-07-19 2:45,2024-07-19 2:48,Allaitement,Novice,,3m,1
2024-07-19 3:00,2024-07-19 3:05,Allaitement,Novice,,5m,1
2024-07-19 5:05,2024-07-19 5:15,Allaitement,Novice,,10m,1
2024-07-19 7:00,2024-07-19 7:04,Allaitement,Novice,,4m,1
2024-07-19 9:00,2024-07-19 9:03,Allaitement,Novice,,3m,1
2024-07-19 9:00,,Selles,,,,1
2024-07-19 13:15,2024-07-19 13:28,Allaitement,Novice,,13m,1
2024-07-19 13:46,2024-07-19 13:56,Allaitement,Novice,,10m,1
2024-07-19 14:55,2024-07-19 15:10,Allaitement,Novice,,15m,1
2024-07-19 15:20,2024-07-19 15:25,Allaitement,Novice,,5m,1
2024-07-19 17:10,2024-07-19 17:40,Allaitement,Novice,,30m,1
2024-07-19 19:10,,Pipi,,,,1
2024-07-20 0:15,,Selles,,,,2
2024-07-20 9:30,2024-07-20 10:00,Allaitement,Novice,,30m,2
2024-07-20 12:12,2024-07-20 12:32,Allaitement,Novice,,20m,2
2024-07-20 12:57,2024-07-20 13:12,Allaitement,Novice,,15m,2
2024-07-20 15:07,,Lait exprimé,,15,,2
2024-07-20 15:20,2024-07-20 15:25,Allaitement,Novice,,5m,2
2024-07-20 17:07,2024-07-20 17:17,Allaitement,Novice,,10m,2
2024-07-20 17:37,2024-07-20 17:47,Allaitement,Novice,,10m,2
2024-07-20 17:49,2024-07-20 17:51,Allaitement,Novice,,2m,2
2024-07-20 19:40,2024-07-20 19:45,Allaitement,Novice,,5m,2
2024-07-20 20:27,2024-07-20 20:32,Allaitement,Novice,,5m 4s,2
2024-07-20 20:36,2024-07-20 20:46,Allaitement,Novice,,10m 2s,2
2024-07-20 22:20,2024-07-20 22:40,Allaitement,Novice,,19m 20s,2
2024-07-20 23:57,,Lait exprimé,,10,,2
2024-07-21 1:47,2024-07-21 1:50,Allaitement,Novice,,2m 44s,3
2024-07-21 1:59,2024-07-21 2:19,Allaitement,Novice,,19m 31s,3
2024-07-21 2:32,2024-07-21 2:59,Allaitement,Novice,,26m 45s,3
2024-07-21 5:28,2024-07-21 5:36,Allaitement,Novice,,8m,3
2024-07-21 6:20,,Lait exprimé,,7,,3
2024-07-21 6:38,2024-07-21 6:41,Allaitement,Novice,,2m 55s,3
2024-07-21 6:47,2024-07-21 6:59,Allaitement,Novice,,11m 44s,3
2024-07-21 7:31,2024-07-21 7:34,Allaitement,Novice,,3m 27s,3
2024-07-21 7:37,2024-07-21 7:51,Allaitement,Novice,,13m 53s,3
2024-07-21 8:47,2024-07-21 9:24,Allaitement,Novice,,37m 10s,3
2024-07-21 9:32,,Lait exprimé,,13,,3
2024-07-21 11:10,2024-07-21 11:40,Allaitement,Novice,,30m 4s,3
2024-07-21 11:40,,Lait exprimé,,10,,3
2024-07-21 13:01,,Selles,,,,3
2024-07-21 14:30,2024-07-21 14:36,Allaitement,Novice,,5m 7s,3
2024-07-21 14:44,2024-07-21 14:48,Allaitement,Novice,,3m 58s,3
2024-07-21 14:51,2024-07-21 15:17,Allaitement,Novice,,26m 15s,3
2024-07-21 15:28,2024-07-21 15:35,Allaitement,Novice,,7m 2s,3
2024-07-21 15:35,,Lait exprimé,,15,,3
2024-07-21 17:55,2024-07-21 18:22,Allaitement,Novice,,27m 3s,3
2024-07-21 18:41,2024-07-21 18:52,Allaitement,Novice,,10m 32s,3
2024-07-21 20:03,2024-07-21 20:08,Allaitement,Novice,,5m 5s,3
2024-07-21 20:12,,Pipi,,,,3
2024-07-21 20:14,2024-07-21 20:22,Allaitement,Novice,,8m 19s,3
2024-07-21 20:30,2024-07-21 20:35,Allaitement,Novice,,5m 17s,3
2024-07-21 20:52,2024-07-21 21:09,Allaitement,Novice,,16m 58s,3
2024-07-21 21:33,2024-07-21 21:38,Allaitement,Novice,,4m 48s,3
2024-07-22 0:14,2024-07-22 0:24,Allaitement,Novice,,10m 41s,4
2024-07-22 1:38,2024-07-22 1:44,Allaitement,Novice,,5m 21s,4
2024-07-22 2:11,,Lait exprimé,,15,,4
2024-07-22 2:12,,Pipi,,,,4
2024-07-22 2:13,,Lait exprimé,,15,,4
2024-07-22 4:28,2024-07-22 4:54,Allaitement,Novice,,26m 18s,4
2024-07-22 5:10,,Lait exprimé,,15,,4
2024-07-22 8:45,2024-07-22 9:03,Allaitement,Novice,,18m 11s,4
2024-07-22 9:29,,Lait exprimé,,20,,4
2024-07-22 9:53,,Pipi,,,,4
2024-07-22 10:00,2024-07-22 10:05,Allaitement,Novice,,4m 59s,4
2024-07-22 10:52,2024-07-22 10:59,Allaitement,Novice,,6m 48s,4
2024-07-22 11:00,,Pipi,,,,4
